,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
223,1995-01-02,TATAMOTORS,517.5,524.7,517.5,524.2,522,1100,573530,521.39,,0.4214559387,,
224,1995-01-03,TATAMOTORS,518,520,515,515,524.2,1500,775450,516.97,,-1.755055322,,
225,1995-01-04,TATAMOTORS,515,515,515,515,515,300,154500,515,,0,,
226,1995-01-05,TATAMOTORS,480,480,480,480,515,50,24000,480,,-6.796116505,,
227,1995-01-06,TATAMOTORS,495,501,495,498.7,480,200,99550,497.75,,3.895833333,,
228,1995-01-09,TATAMOTORS,495,495,495,495,498.7,100,49500,495,,-0.7419290154,,
229,1995-01-10,TATAMOTORS,490,490,490,490,495,450,220500,490,,-1.01010101,,
230,1995-01-11,TATAMOTORS,470,480,470,480,490,300,142000,473.33,,-2.040816327,,
231,1995-01-12,TATAMOTORS,485,485,480,480,480,250,120600,482.4,,0,,
232,1995-01-13,TATAMOTORS,482,482,470,470,480,100,47600,476,,-2.083333333,,
233,1995-01-16,TATAMOTORS,480,484,480,482.95,470,200,96397.5,481.99,,2.755319149,,
234,1995-01-17,TATAMOTORS,483,483,477,477,482.95,250,119825,479.3,,-1.232011595,,
235,1995-01-18,TATAMOTORS,482,482,475,476,477,200,95500,477.5,,-0.2096436059,,
236,1995-01-19,TATAMOTORS,480,480,480,480,476,150,72000,480,,0.8403361345,,
237,1995-01-20,TATAMOTORS,481,485,481,482,480,300,144825,482.75,,0.4166666667,,
238,1995-01-23,TATAMOTORS,470,470,450,452.5,482,350,160000,457.14,,-6.12033195,,
239,1995-01-24,TATAMOTORS,460,467.5,456.75,467.5,452.5,700,322787.5,461.13,,3.314917127,,
240,1995-01-25,TATAMOTORS,460,480,460,480,467.5,400,188250,470.63,,2.673796791,,
241,1995-01-27,TATAMOTORS,465,485,465,485,480,2450,1179700,481.51,,1.041666667,,
242,1995-01-30,TATAMOTORS,479,497,479,497,485,1150,563225,489.76,,2.474226804,486.3925,
243,1995-01-31,TATAMOTORS,500,507.5,498.5,507.5,497,5850,2961625,506.26,,2.112676056,485.5575,
244,1995-02-01,TATAMOTORS,510,510,505,505,507.5,450,228400,507.56,,-0.4926108374,485.0575,
245,1995-02-02,TATAMOTORS,500,510,500,509.5,505,1650,837075,507.32,,0.8910891089,484.7825,
246,1995-02-03,TATAMOTORS,505,515,505,510,509.5,1700,871575,512.69,,0.09813542689,486.2825,
247,1995-02-06,TATAMOTORS,500,505,500,500,510,2900,1456000,502.07,,-1.960784314,486.3475,
248,1995-02-07,TATAMOTORS,505,505,490,502,500,1550,770312.5,496.98,,0.4,486.6975,
249,1995-02-08,TATAMOTORS,515,515,497.5,497.5,502,5850,2963050,506.5,,-0.8964143426,487.0725,
250,1995-02-09,TATAMOTORS,499.75,505,499.75,504,497.5,16100,8125100,504.66,,1.306532663,488.2725,
251,1995-02-10,TATAMOTORS,490,505,490,492,504,11100,5592900,503.86,,-2.380952381,488.8725,
196,1995-02-10,TATAMOTORS,490,505,490,492,504,11100,5592900,503.86,,-2.380952381,489.9725,
197,1995-02-13,TATAMOTORS,500,500,490,494.7,492,25850,12916950,499.69,,0.5487804878,490.56,
198,1995-02-14,TATAMOTORS,486,490,483,483,494.7,1850,898175,485.5,,-2.365069739,490.86,
